genotype,sleep_cond,thresh,reaction,individual_slep_lat,sleep_latency,fly,time,matched_file,date,time_of_day,time_simp,day_num,proportion,mp4_file_path,mp4_link
helicon_rdl,sleeping,100,0,726.642278909683,726.642278909683,38,2025-05-15 13:01:56.420625,helirdl_thursday_movement_thresholds.csv,2025-05-15,13:01:56.420625,1,d11,1 / 2,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/helirdl_thursday.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/helirdl_thursday.mp4"">helirdl_thursday.mp4</a>"
,,,,,,,,,,,,,,,
helicon_rdl,sleeping,100,0,764,846.646690130234,39,2025-05-15 13:35:29.587243,helirdlthurrrs_movement_thresholds.csv,2025-05-15,13:35:29.587243,1,d11,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/helirdlthurrrs.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/helirdlthurrrs.mp4"">helirdlthurrrs.mp4</a>"
helicon_rdl,sleeping,42.44,1,846.646690130234,846.646690130234,40,2025-05-15 13:35:29.587243,helirdlthurrrs_movement_thresholds.csv,2025-05-15,13:35:29.587243,1,d11,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/helirdlthurrrs.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/helirdlthurrrs.mp4"">helirdlthurrrs.mp4</a>"
,,,,,,,,,,,,,,,
helicon_rdl,sleeping,100,0,1293,1498.58526945114,41,2025-05-15 14:34:29.093475,heli_rdl_5_in_there_lessssgo_movement_thresholds.csv,2025-05-15,14:34:29.093475,2,d11,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/heli_rdl_5_in_there_lessssgo.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/heli_rdl_5_in_there_lessssgo.mp4"">heli_rdl_5_in_there_lessssgo.mp4</a>"
helicon_rdl,sleeping,100,0,1498.58526945114,1498.58526945114,42,2025-05-15 14:34:29.093475,heli_rdl_5_in_there_lessssgo_movement_thresholds.csv,2025-05-15,14:34:29.093475,2,d11,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/heli_rdl_5_in_there_lessssgo.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/heli_rdl_5_in_there_lessssgo.mp4"">heli_rdl_5_in_there_lessssgo.mp4</a>"
,,,,,,,,,,,,,,,
helicon_w1118,sleeping,100,0,300,346.281857967377,43,2025-05-23 14:31:45.979999,heli_w1118_thirst_day_movement_thresholds.csv,2025-05-23,14:31:45.979999,2,d,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/heli_w1118_thirst_day.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/heli_w1118_thirst_day.mp4"">heli_w1118_thirst_day.mp4</a>"
helicon_w1118,sleeping,100,0,346.281857967377,346.281857967377,44,2025-05-23 14:31:45.979999,heli_w1118_thirst_day_movement_thresholds.csv,2025-05-23,14:31:45.979999,2,d,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/heli_w1118_thirst_day.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/heli_w1118_thirst_day.mp4"">heli_w1118_thirst_day.mp4</a>"
,,,,,,,,,,,,,,,
helicon_w1118,sleeping,100,0,,,,,,,,,,,,
rdl_w1118,sleeping,100,0,642.898441553116,642.898441553116,45,2025-05-14 18:18:42.699166,rdl_w1118_2sleepy2furious_movement_thresholds.csv,2025-05-14,18:18:42.699166,6,d10,1 / 5,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_2sleepy2furious.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_2sleepy2furious.mp4"">rdl_w1118_2sleepy2furious.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
rdl_w1118,,17.56,1,,608.74027466774,46,2025-05-20 16:09:41.050395,rdl_cheeewwwwsday_movement_thresholds.csv,2025-05-20,16:09:41.050395,4,d12,2 / 4,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_cheeewwwwsday.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_cheeewwwwsday.mp4"">rdl_cheeewwwwsday.mp4</a>"
rdl_w1118,,100,0,608.74027466774,608.74027466774,47,2025-05-20 16:09:41.050395,rdl_cheeewwwwsday_movement_thresholds.csv,2025-05-20,16:09:41.050395,4,d,2 / 4,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_cheeewwwwsday.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_cheeewwwwsday.mp4"">rdl_cheeewwwwsday.mp4</a>"
,,,,,,,,,,,,,,,
rdl_w1118,,100,0,469.874905824661,469.874905824661,48,2025-05-20 16:11:13.777193,rdl_sleeping_tuesday_movement_thresholds.csv,2025-05-20,16:11:13.777193,4,d,1 / 5,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_sleeping_tuesday.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_sleeping_tuesday.mp4"">rdl_sleeping_tuesday.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_w1118,,100,0,1253.39199090004,1253.39199090004,49,2025-05-21 14:44:35.764560,sdsad_movement_thresholds.csv,2025-05-21,14:44:35.76456,2,d,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/sdsad.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/sdsad.mp4"">sdsad.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_w1118,,100,0,841.466349363327,841.466349363327,50,2025-05-21 15:09:16.010144,heliwed2_movement_thresholds.csv,2025-05-21,15:09:16.010144,3,d13,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/heliwed2.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/heliwed2.mp4"">heliwed2.mp4</a>"
,,,,,,,,,,,,,,,
helicon_w1118,,100,0,1910.49177622795,1910.49177622795,51,2025-05-21 16:01:31.697225,heliwed3_movement_thresholds.csv,2025-05-21,16:01:31.697225,4,d13,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/heliwed3.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/heliwed3.mp4"">heliwed3.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
