filename,pre_onset_1_average,pre_onset_top_speed,post_onset_1_average,post_onset_top_speed,top_speed_difference,ZT,creation_time,abs_difference,cond,light_cond,genotype
W1118_CS_Male_light_06.csv,10.0406666666667,20.87,3.53377777777778,15.21,-5.66,347,02.05.2024 14:47:44,6.50688888888889,w1118_cs_light,light,w1118(CS)
W1118_CS_male_secondround_light_6.csv,8.13577777777778,58.47,5.94422222222222,25.55,-32.92,327,07.05.2024 14:27:42,2.19155555555555,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_13.csv,0.610444444444444,5.4,0.0531818181818182,1.06,-4.34,473,03.05.2024 16:53:22,0.557262626262626,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_04.csv,7.51466666666667,16.57,7.36111111111111,37.4,20.83,335,02.05.2024 14:35:46,0.153555555555554,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_8.csv,2.48333333333333,9.82,2.51111111111111,36.99,27.17,442,03.05.2024 16:22:26,0.0277777777777777,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_03.csv,22.5126666666667,34.31,11.3386666666667,25.17,-9.14,323,02.05.2024 14:23:04,11.174,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_12.csv,5.72478260869565,24.75,7.10022222222222,18.64,-6.11,467,03.05.2024 16:47:20,1.37543961352657,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_07.csv,0,0,0,0,0,356,02.05.2024 14:56:11,0,w1118_cs_light,light,w1118(CS)
W1118_CS_male_secondround_light_3.csv,5.39733333333333,20.15,5.67636363636364,27.85,7.7,300,07.05.2024 14:00:12,0.279030303030302,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_dark_07.csv,9.98934782608696,29.03,8.81977272727273,28.05,-0.98,399,02.05.2024 15:39:08,1.16957509881423,w1118_cs_dark,dark,w1118(CS)
w1118(cs)_round2_dark_1.csv,9.01478260869565,20.37,16.4271111111111,40.62,20.25,464,08.05.2024 16:44:37,7.41232850241546,w1118_cs_dark,dark,w1118(CS)
W1118_CS_male_round2_dark.csv,86.9211111111111,282.8,20.34,113.49,-169.31,536,07.05.2024 17:56:23,66.5811111111111,w1118_cs_dark,dark,w1118(CS)
W1118_CS_male_secondround_dark_1.csv,0,0,0,0,0,289,07.05.2024 13:49:12,0,w1118_cs_dark,dark,w1118(CS)
W1118_CS_Male_dark_03.csv,0,0,0,0,0,370,02.05.2024 15:10:25,0,w1118_cs_dark,dark,w1118(CS)
W1118_CS_Male_dark_05.csv,12.8722222222222,30.72,9.46444444444444,35.12,4.4,385,02.05.2024 15:25:30,3.40777777777778,w1118_cs_dark,dark,w1118(CS)
w1118(cs)_round2_dark_3.csv,6.44326086956522,38.8,5.82386363636364,45.73,6.93,500,08.05.2024 17:20:46,0.61939723320158,w1118_cs_dark,dark,w1118(CS)
W1118_CS_Male_dark_04.csv,0,0,6.97954545454546,65.19,65.19,377,02.05.2024 15:17:04,6.97954545454546,w1118_cs_dark,dark,w1118(CS)
W1118_CS_Male_dark_11.csv,6.13577777777778,15.61,14.0530434782609,56.56,40.95,501,03.05.2024 17:21:05,7.91726570048309,w1118_cs_dark,dark,w1118(CS)
W1118_CS_Male_dark_08.csv,0.0858695652173913,3.95,2.55318181818182,35.06,31.11,479,03.05.2024 16:59:09,2.46731225296443,w1118_cs_dark,dark,w1118(CS)
w1118(cs)_round2_dark_4.csv,3.97911111111111,19.99,4.52577777777778,22.25,2.26,504,08.05.2024 17:24:09,0.546666666666667,w1118_cs_dark,dark,w1118(CS)
w1118(cs)_round2_dark_2.csv,13.7,36.15,10.7345454545455,37.1,0.950000000000003,472,08.05.2024 16:52:48,2.96545454545454,w1118_cs_dark,dark,w1118(CS)
W1118_CS_Male_dark_06.csv,5.17,19.08,18.7597727272727,50.12,31.04,393,02.05.2024 15:33:08,13.5897727272727,w1118_cs_dark,dark,w1118(CS)
W1118_CS_Male_dark_10.csv,5.11478260869565,14.07,11.3695555555556,31.88,17.81,495,03.05.2024 17:15:11,6.2547729468599,w1118_cs_dark,dark,w1118(CS)
W1118_CS_Male_dark_09.csv,8.16863636363637,20.38,14.510652173913,28.66,8.28,483,03.05.2024 17:03:47,6.34201581027668,w1118_cs_dark,dark,w1118(CS)
